created_at,screen_name,text
2019-06-30 04:35:27,jetharam7349,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:30:29,TheYogendra_,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:27:09,Fasih_Mosharraf,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:25:59,gaurav271090,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:25:54,wahane_sumit,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:25:53,BabbarAmarNath,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:24:11,Yayaver1,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:19:24,ShahAla33235507,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:18:28,asiffact,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:17:39,vineets,"RT @thewirehindi: ‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES #Enceph…"
2019-06-30 04:14:53,ians_india,"There is a consensus among #doctors, experts, health officials as well as parents that #monsoon brings down cases o… https://t.co/QjsAJEXoqn"
2019-06-30 04:12:54,thewirehindi,"‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’
#Bihar #ChildrenDeaths #AES… https://t.co/JUisJyIabO"
2019-06-30 04:11:03,SandeepBhartiye,"‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’.https://t.co/iQShnPKWVI"
2019-06-30 03:53:40,Puneetvizh,"‘सरकार ईमानदारी से काम करे, तो अगले साल इंसेफलाइटिस से एक भी बच्चे की जान नहीं जाएगी’.https://t.co/ylOiSTnDHc"
2019-06-30 02:42:32,lekhachakrborty,RT @pranabsamanta: Just 36 who availed ayushman Bharat in Bihar for AES treatment reveals a gap that needs to be addressed. Ayushman CEO te…
2019-06-30 02:32:22,Evilsickularist,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
2019-06-29 23:01:10,AyanangshuHazra,RT @ANI: Muzaffarpur: Death toll due to Acute Encephalitis Syndrome (AES) rises to 134 (113 at Sri Krishna medical college Hospital &amp; 21 at…
2019-06-29 18:35:45,jayaramsuri,"RT @VizagApollo: Acute Encephalitis Syndrome (AES) also known as ‘Chamki Fever’ or Litchi Virus in India, is an umbrella term used for infe…"
2019-06-29 17:49:02,Bagria93deep,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
2019-06-29 17:46:53,shwetaa_9,RT @NewsMobileIndia: JUST IN | #Muzaffarpur : Death toll due to Acute Encephalitis Syndrome (AES) rises to 134 (113 at Sri Krishna medical…
2019-06-29 17:28:46,Nishant50048336,RT @ANI: Muzaffarpur: Death toll due to Acute Encephalitis Syndrome (AES) rises to 134 (113 at Sri Krishna medical college Hospital &amp; 21 at…
2019-06-29 16:48:30,nemityadav1,RT @ANI: Muzaffarpur: Death toll due to Acute Encephalitis Syndrome (AES) rises to 134 (113 at Sri Krishna medical college Hospital &amp; 21 at…
2019-06-29 16:28:04,tandi_charan,"RT @JebiMather: Bihar AES deaths: Youth Congress protests near Harsh Vardhan’s residence in Delhi, detained https://t.co/PqOBUrr3XO @IYC @k…"
2019-06-29 16:23:35,theupdaterpost,Death toll from AES reaches 173 in Bihar; Muzaffarpur remains worst-hit district https://t.co/0eHLBgeh0I
2019-06-29 16:18:25,aamirmanzoorn,"RT @saad_iq64: 🔘Significant Of 《Anterior Fontanelle》 
In Infant : 🔻
🔴Closed:
🔹18 mo
🔴Bulging:
🔹⬆️ICP
🔹Meningitis
🔹Encephalitis
🔹Hydrocephal…"
2019-06-29 16:01:07,riznwiz,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
2019-06-29 15:52:09,timesofoman,Over 150 children have died in the Indian state of Bihar of Acute Encephalitis Syndrome https://t.co/D8gblQwkYj
2019-06-29 15:51:46,MonaAmbegaonkar,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
2019-06-29 15:40:03,sms_venkat,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
2019-06-29 13:22:32,Bajrangiaman,RT @ANI: Muzaffarpur: Death toll due to Acute Encephalitis Syndrome (AES) rises to 134 (113 at Sri Krishna medical college Hospital &amp; 21 at…
2019-06-29 13:16:32,Chiranjivikuma8,RT @Navayan: Hundreds of children have died in Bihar’s Muzaffarpur due to Acute Encephalitis Syndrome (AES). The tragedy once more points t…
